model,timestamp(seconds),max-java-cpu(%),max-java-mem(MB),max-llm-cpu(%),max-llm-mem(MB),iteractions
Qwen/Qwen2.5-Coder-0.5B-Instruct,27.09,52.39,1086.31,52.42,1965.11,1
Qwen/Qwen2.5-Coder-1.5B-Instruct,102.37,58.60,1134.12,51.19,4093.48,1
meta-llama/Llama-3.2-3B-Instruct,254.91,59.86,869.98,54.90,12753.88,1
ibm-granite/granite-3.1-1b-a400m-instruct,54.83,59.85,1079.83,51.20,7744.07,1
Salesforce/xLAM-1b-fc-r,76.49,57.35,1067.13,51.16,3492.88,1
HuggingFaceTB/SmolLM2-1.7B-Instruct,115.39,59.85,1065.05,52.40,5803.20,1
infly/OpenCoder-1.5B-Instruct,384.59,57.35,1072.14,51.20,5791.60,1
google/gemma-2-2b-it,239.64,59.85,1257.04,52.40,12999.87,2
meta-llama/Llama-3.2-1B-Instruct,498.10,62.34,1690.26,52.40,7407.38,6
deepseek-ai/deepseek-coder-1.3b-instruct,411.93,61.09,1664.66,51.20,3537.24,9
