model,timestamp,java_cpu,java_mem_MB,flask_cpu,flask_mem_MB
Qwen/Qwen2.5-Coder-0.5B-Instruct,1.51,139.70,0.00,69.90,520.11Qwen/Qwen2.5-Coder-0.5B-Instruct,1.51 seconds, Total time,0.2509680986404419,Mean Iteraction Time,-
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.00,159.80,57.94,0.00,861.55
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.30,139.60,100.43,0.00,861.55
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.60,0.00,100.43,0.00,861.55
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.90,0.00,100.43,0.00,861.55
Qwen/Qwen2.5-Coder-0.5B-Instruct,1.20,0.00,100.43,0.00,861.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,567.05 seconds, Total time,94.50830256938934,Mean Iteraction Time,- 
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.00,159.80,54.77,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.30,329.30,97.38,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.60,0.00,99.26,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.90,0.00,99.26,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,1.20,0.00,99.26,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,1.50,399.20,153.54,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,1.81,209.60,257.52,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,2.11,149.80,309.75,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,2.41,259.40,434.88,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,2.71,139.70,598.74,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,3.01,99.80,599.99,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,3.31,109.70,647.24,0.00,860.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,3.61,0.00,649.44,99.80,886.18
Qwen/Qwen2.5-Coder-1.5B-Instruct,3.91,0.00,649.44,99.80,962.79
Qwen/Qwen2.5-Coder-1.5B-Instruct,4.22,0.00,649.44,399.40,1031.83
Qwen/Qwen2.5-Coder-1.5B-Instruct,4.52,0.00,649.44,339.40,1091.20
Qwen/Qwen2.5-Coder-1.5B-Instruct,4.82,0.00,649.44,409.40,1187.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,5.12,0.00,647.59,399.40,1250.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,5.42,0.00,647.59,379.30,1312.70
Qwen/Qwen2.5-Coder-1.5B-Instruct,5.74,0.00,647.59,399.60,1365.20
Qwen/Qwen2.5-Coder-1.5B-Instruct,6.04,0.00,647.59,385.90,1401.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,6.34,0.00,647.59,349.50,1454.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,6.65,0.00,647.59,399.30,1523.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,6.95,0.00,647.59,399.40,1611.95
Qwen/Qwen2.5-Coder-1.5B-Instruct,7.25,0.00,647.59,399.40,1674.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,7.55,0.00,647.59,309.50,1731.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,7.85,0.00,647.59,389.40,1815.83
Qwen/Qwen2.5-Coder-1.5B-Instruct,8.15,0.00,647.59,399.40,1878.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,8.45,0.00,647.59,399.40,1967.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,8.75,0.00,647.59,389.40,2029.70
Qwen/Qwen2.5-Coder-1.5B-Instruct,9.05,0.00,647.59,399.40,2118.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,9.35,0.00,647.59,389.40,2176.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,9.65,0.00,647.59,389.40,2260.95
Qwen/Qwen2.5-Coder-1.5B-Instruct,9.96,0.00,647.59,399.40,2349.70
Qwen/Qwen2.5-Coder-1.5B-Instruct,10.26,0.00,647.59,399.40,2412.33
Qwen/Qwen2.5-Coder-1.5B-Instruct,10.56,0.00,647.59,389.30,2499.08
Qwen/Qwen2.5-Coder-1.5B-Instruct,10.86,0.00,647.59,399.40,2563.83
Qwen/Qwen2.5-Coder-1.5B-Instruct,11.16,0.00,647.59,399.40,2626.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,11.46,0.00,647.59,399.40,2704.95
Qwen/Qwen2.5-Coder-1.5B-Instruct,11.76,0.00,647.59,399.30,2793.95
Qwen/Qwen2.5-Coder-1.5B-Instruct,12.06,0.00,647.59,399.30,2856.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,12.36,0.00,647.59,399.30,2945.20
Qwen/Qwen2.5-Coder-1.5B-Instruct,12.67,0.00,647.59,399.40,3007.83
Qwen/Qwen2.5-Coder-1.5B-Instruct,12.97,10.00,647.59,399.40,3070.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,13.27,0.00,647.59,389.40,3149.20
Qwen/Qwen2.5-Coder-1.5B-Instruct,13.57,0.00,647.59,399.40,3240.33
Qwen/Qwen2.5-Coder-1.5B-Instruct,13.87,0.00,647.59,399.40,3302.95
Qwen/Qwen2.5-Coder-1.5B-Instruct,14.17,0.00,647.59,399.40,3365.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,14.47,0.00,647.59,389.40,3454.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,14.77,0.00,647.59,399.30,3922.71
Qwen/Qwen2.5-Coder-1.5B-Instruct,15.07,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,15.37,0.00,647.59,399.40,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,15.68,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,15.98,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,16.28,0.00,647.59,409.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,16.58,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,16.88,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.18,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.48,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.78,0.00,647.59,409.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.08,0.00,647.59,409.60,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.39,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.69,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.99,0.00,647.59,389.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.29,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.59,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.89,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.19,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.49,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.80,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.10,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.40,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.70,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.00,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.30,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.60,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.90,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.21,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.51,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.81,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.11,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.41,0.00,647.59,399.40,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.71,0.00,647.59,409.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.01,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.31,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.62,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.92,0.00,647.59,399.00,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.22,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.52,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.82,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.12,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.42,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.72,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,28.03,0.00,647.59,399.20,3948.64
